nama_tempat_wisata,kategori,preferensi,kecamatan,kabupaten_kota,rating,jumlah_rating,harga_tiket,link,latitude,longitude,link_gambar
pemandian air panas,Alam,Wisata Alam,Babakan Madang,Kabupaten Bogor,4.3,78,,https://www.google.com/maps/place/pemandian+air+panas/data=!4m7!3m6!1s0x2e69b97b26c2341d:0x6678d85baf2e43f3!8m2!3d-6.582021!4d106.924129!16s%2Fg%2F11fwxcr9d5!19sChIJHTTCJnu5aS4R80Mur1vYeGY?authuser=0&hl=id&rclk=1,-6.582021,106.924129,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSx8MxGbtKGtgShPKD6yzrI6zCqD6xdlWY8wg_qu1pSt4cQDCCRWgEGTQIhB7Hs_K2NstLSBWBwqX8EAGEficGkHKfWNDbAHLL2tw3LSEh0LNiHSz8srCfviDwVmloJ74zizLW3M=w1200-h800
sentul eco edu tourism forest,Alam,Wisata Alam,Babakan Madang,Kabupaten Bogor,4.6,318,,https://www.google.com/maps/place/sentul+eco+edu+tourism+forest/data=!4m7!3m6!1s0x2e69b94cb04ae973:0xf5158b999cd05369!8m2!3d-6.5724577!4d106.9129037!16s%2Fg%2F11fmpxsyt4!19sChIJc-lKsEy5aS4RaVPQnJmLFfU?authuser=0&hl=id&rclk=1,-6.5724577,106.9129037,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxxMpER3mdzl11OKpY1Z0um4PefllJ9ok7m-j7HXTjH0nFdFUbsLodV01i0plkhT6-OLRkkuXPXbCgD-KzwlwTGlR8xGYEEppQnqxmMDte-0fw0bwGKLBZMVspMPLVadwlt9p0elw=w1200-h800
Bukit Cinta Bogor,Alam,Wisata Alam,Babakan Madang,Kabupaten Bogor,4.3,602,,https://www.google.com/maps/place/Bukit+Cinta+Bogor/data=!4m7!3m6!1s0x2e69b8e4bc12e9ab:0x195127c48ee3864!8m2!3d-6.5705191!4d106.952548!16s%2Fg%2F11fxvcbbr8!19sChIJq-kSvOS4aS4RZDjuSHwSlQE?authuser=0&hl=id&rclk=1,-6.5705191,106.952548,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwuetQlgYOhTyNXfRt7sAK1TfBGbRwnYxhmlRps2YEC-3MG0hpGA8husXUinPZ4Zd0Tlln1Iabwhphx_ruJUwEF2tULTuyTMo2ESERghbMmIUDHpEGszGIQzhmEZJMbARDLDru_NA=w1200-h800
"Trekking Sentul - Private Camping, Hiking & Trekking Bogor",Alam,Wisata Alam,Babakan Madang,Kabupaten Bogor,4.8,329,,"https://www.google.com/maps/place/Trekking+Sentul+-+Private+Camping,+Hiking+%26+Trekking+Bogor/data=!4m7!3m6!1s0x2e69c7d027c409f7:0x98394f37ea70c074!8m2!3d-6.5749253!4d106.8925279!16s%2Fg%2F11hyt6tqpd!19sChIJ9wnEJ9DHaS4RdMBw6jdPOZg?authuser=0&hl=id&rclk=1",-6.5749253,106.8925279,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwZufUntwULJ4WfmL-8E5SPG9LsY_7aolgrJwnesZW8t07wDXZ2fs1ipdG35Wd3pPhn_oSIteM85nJ8PN1wGxkZjoh_5MI2ezv3Fah9WnhlXdD75xINHjU0cUQ3LGMt3h3r_b8g_Q=w1200-h800
Sentul Paradise Park,Alam,Wisata Alam,Babakan Madang,Kabupaten Bogor,3.4,902,,https://www.google.com/maps/place/Sentul+Paradise+Park/data=!4m7!3m6!1s0x2e69c7f6aaaaaaab:0x4f13a90f01e69731!8m2!3d-6.6142565!4d106.9085544!16s%2Fg%2F12qgwv_8h!19sChIJq6qqqvbHaS4RMZfmAQ-pE08?authuser=0&hl=id&rclk=1,-6.6142565,106.9085544,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyU22hJTWM1WXG34wpxqSTq9EL4cqehbqyg9bMV7-fJJgYCf48P1eJIdsjKewDtcnojb_yEyWqQa9bJfrXKfoh-CUJ_XM-t12tOUAQ6eiCMJ48XyH88odBHhlmlqciGzO_WbVY-=w1200-h800
Trekking Sentul,Alam,Wisata Alam,Babakan Madang,Kabupaten Bogor,5.0,31,,https://www.google.com/maps/place/Trekking+Sentul/data=!4m7!3m6!1s0x2e69c1528f5c63ef:0x7590a9d2a6eb043c!8m2!3d-6.5211331!4d106.8502879!16s%2Fg%2F11v5sgklqk!19sChIJ72Ncj1LBaS4RPATrptKpkHU?authuser=0&hl=id&rclk=1,-6.5211331,106.8502879,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSykyqi-99JDbZMj7_2yHCTgJJojFz8tvvDscCRKk1miLXPjk6Ac40TDQV5hvbw69jCmh9B4Y_CSat_3Eb7_5Zk23zy2Fy8IgvcLUpLn7PY5T6EkmMO3dF7-DdzZx1Xwl-tZKzQ=w1200-h800
Treking sentull,Umum,Lainnya,Babakan Madang,Kabupaten Bogor,4.3,10306,,https://www.google.com/maps/place/Treking+sentull/data=!4m7!3m6!1s0x2e69b8538fd00129:0xfa8b547834f0ac2c!8m2!3d-6.5893251!4d106.9546789!16s%2Fg%2F11cm02mrhj!19sChIJKQHQj1O4aS4RLKzwNHhUi_o?authuser=0&hl=id&rclk=1,-6.5893251,106.9546789,https://lh3.googleusercontent.com/p/AF1QipPXOJXzbNRY9Ky08xi8-F1jr2hMoOT4HHJOx22d=w1200-h800
Leuwi Pangaduan,Umum,Lainnya,Babakan Madang,Kabupaten Bogor,4.4,1426,,https://www.google.com/maps/place/Leuwi+Pangaduan/data=!4m7!3m6!1s0x2e69c78b969cad9f:0x47d33c093aa63764!8m2!3d-6.6007184!4d106.9061239!16s%2Fg%2F11j6zh6h6p!19sChIJn62clovHaS4RZDemOgk800c?authuser=0&hl=id&rclk=1,-6.6007184,106.9061239,https://lh3.googleusercontent.com/p/AF1QipPPnz9MxAHBv-SvX_rPr3BRsNkteM5hDFk9Efq0=w1200-h800
Curug Cinta Putri Kencana,Alam,Wisata Alam,Babakan Madang,Kabupaten Bogor,4.5,314,,https://www.google.com/maps/place/Curug+Cinta+Putri+Kencana/data=!4m7!3m6!1s0x2e69b838fc4ad18f:0xe86fe16504b7013a!8m2!3d-6.6078603!4d106.943515!16s%2Fg%2F11c1pqtqx8!19sChIJj9FK_Di4aS4ROgG3BGXhb-g?authuser=0&hl=id&rclk=1,-6.6078603,106.943515,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSynYEkrrqkjt64quxWO-totteiSpNI0MtcyYrFiACCL4UAGo7-jygruufnlWS5Ux03TSXYOfiTrIm3N-kakmJm6Nk8JWyTM04-O_Kh5VxmRjVwvpP9jE_UqkgLwIu98EXExBiSE=w1200-h800
ECOART PARK Sentul City,Alam,Wisata Alam,Babakan Madang,Kabupaten Bogor,4.4,11796,,https://www.google.com/maps/place/ECOART+PARK+Sentul+City/data=!4m7!3m6!1s0x2e69c6ebc0f289c5:0xf894747033caad39!8m2!3d-6.5687222!4d106.8457512!16s%2Fg%2F11b6x9_n9z!19sChIJxYnywOvGaS4ROa3KM3B0lPg?authuser=0&hl=id&rclk=1,-6.5687222,106.8457512,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzQ63qjjoYG4e8I_ySV-7sqrflpXdSz1zCcXdukUwM36qL8TljmZ6I9EHc_YrMxkQgZlR3fWmaMF4Gn3ebFqqZw53itQD3RtPEI9DRcA9OOPWA04ESQX-MF1b362wUBtwyRsjKJqQ=w1200-h800
Villa Bukit Hambalang,Rekreasi,Wisata Rekreasi,Babakan Madang,Kabupaten Bogor,4.4,2971,,https://www.google.com/maps/place/Villa+Bukit+Hambalang/data=!4m7!3m6!1s0x2e69c0b43f5f00ff:0x36dc112457c58c73!8m2!3d-6.5388548!4d106.8927727!16s%2Fg%2F11b6srf74x!19sChIJ_wBfP7TAaS4Rc4zFVyQR3DY?authuser=0&hl=id&rclk=1,-6.5388548,106.8927727,https://lh3.googleusercontent.com/p/AF1QipOlr-4AzCrXXHOGF2WnZrmJTYOr84cAcvfTi4OS=w1200-h800
Curug Leuwi Asih,Alam,Wisata Alam,Babakan Madang,Kabupaten Bogor,4.5,421,,https://www.google.com/maps/place/Curug+Leuwi+Asih/data=!4m7!3m6!1s0x2e69b9471d753e91:0x43b13f3c1518860d!8m2!3d-6.5883126!4d106.9287126!16s%2Fg%2F11h4mnsqbm!19sChIJkT51HUe5aS4RDYYYFTw_sUM?authuser=0&hl=id&rclk=1,-6.5883126,106.9287126,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxq7sn9DftW-QFw0VN0x1fmUC0hbzvVRISH8aoSELYrWai4BLsBKc-tgoAV291L2hOXOhNFQbDGxnrQnMTMLK5zm_2kCw1Voeqffl8PUtJCKpx8FOUSBgKeAJ2CzJFPn_eex7jw=w1200-h800
WISATA CADAS NGAMPAR,Umum,Lainnya,Babakan Madang,Kabupaten Bogor,4.6,221,,https://www.google.com/maps/place/WISATA+CADAS+NGAMPAR/data=!4m7!3m6!1s0x2e69b998113cce13:0xfdd5cd761adea061!8m2!3d-6.5864923!4d106.9653756!16s%2Fg%2F11hg26kp9c!19sChIJE848EZi5aS4RYaDeGnbN1f0?authuser=0&hl=id&rclk=1,-6.5864923,106.9653756,
Curug Anggraeni,Alam,Wisata Alam,Babakan Madang,Kabupaten Bogor,4.6,78,,https://www.google.com/maps/place/Curug+Anggraeni/data=!4m7!3m6!1s0x2e69c7c7fac1b1b5:0x831f22cd9cea9d57!8m2!3d-6.5710359!4d106.9097279!16s%2Fg%2F11kg9p09md!19sChIJtbHB-sfHaS4RV53qnM0iH4M?authuser=0&hl=id&rclk=1,-6.5710359,106.9097279,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyKu6dNsTMXPUngudo9mSFrSgHtb-p-tr6qKJuPx-jXdpCle4nwEJChFFgvduGE9xkvd7oBUgDEG86v6V_UFbqYkxxaxSQYPSmybum3ZG3RVeRzF6J4eCEgnWrMBmq9028x3U3Q=w1200-h800
Trekking Sentul | Private Guide Sentul,Alam,Wisata Alam,Babakan Madang,Kabupaten Bogor,4.8,732,,https://www.google.com/maps/place/Trekking+Sentul+%7C+Private+Guide+Sentul/data=!4m7!3m6!1s0x2e69b9d60c0f41d9:0x28b46af343e509d9!8m2!3d-6.5890851!4d106.9155011!16s%2Fg%2F11lh4wzvkd!19sChIJ2UEPDNa5aS4R2QnlQ_NqtCg?authuser=0&hl=id&rclk=1,-6.5890851,106.9155011,https://lh3.googleusercontent.com/p/AF1QipNm0tnG285kBMfefld6ynPyHt86mzmOykrnanm-=w1200-h800
CURUG ROSO MULYO,Alam,Wisata Alam,Babakan Madang,Kabupaten Bogor,4.5,19,,https://www.google.com/maps/place/CURUG+ROSO+MULYO/data=!4m7!3m6!1s0x2e69b9004f4e6843:0xb05ef03f01905cd0!8m2!3d-6.5936815!4d106.9389791!16s%2Fg%2F11lcmy513d!19sChIJQ2hOTwC5aS4R0FyQAT_wXrA?authuser=0&hl=id&rclk=1,-6.5936815,106.9389791,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxgpnJkU_MvBIPIzrLse6ETg1HDQ0Yl6uHD_jDtINEkqJi1Bk2UiFY166XED069jfdBx98mlS1tvfBIOpU_VXlwb3oPPHBsNyCZpUSKWSchR0aQw4hLQ0ftJYmL78XwzjZwsYR8=w1200-h800
Next Level Adventures (NLA),Umum,Lainnya,Babakan Madang,Kabupaten Bogor,4.6,256,,https://www.google.com/maps/place/Next+Level+Adventures+%28NLA%29/data=!4m7!3m6!1s0x2e69c725e00956f1:0xedab3d779a8c8a67!8m2!3d-6.5770793!4d106.8905171!16s%2Fg%2F11py7lgqn6!19sChIJ8VYJ4CXHaS4RZ4qMmnc9q-0?authuser=0&hl=id&rclk=1,-6.5770793,106.8905171,https://lh3.googleusercontent.com/p/AF1QipMZAw-Hhea9YLIDPDeRNIBtrrAbk-rycVtLLfQi=w1200-h800
Leuwi areuy,Umum,Lainnya,Babakan Madang,Kabupaten Bogor,4.7,96,,https://www.google.com/maps/place/Leuwi+areuy/data=!4m7!3m6!1s0x2e69b948e3399ef7:0x77ac5a3525b92389!8m2!3d-6.6067934!4d106.9134146!16s%2Fg%2F11tnb_1t9z!19sChIJ954540i5aS4RiSO5JTVarHc?authuser=0&hl=id&rclk=1,-6.6067934,106.9134146,https://lh3.googleusercontent.com/p/AF1QipN9ESLqU-D-Hu7QgqnXPFXvmcSh3YiCq9lO5zqe=w1200-h800
Tugu Pancakarsa Sentul,Umum,Lainnya,Babakan Madang,Kabupaten Bogor,4.7,442,,https://www.google.com/maps/place/Tugu+Pancakarsa+Sentul/data=!4m7!3m6!1s0x2e69c102371add19:0x712444476b1821dc!8m2!3d-6.5325362!4d106.8533392!16s%2Fg%2F11smfy4mgb!19sChIJGd0aNwLBaS4R3CEYa0dEJHE?authuser=0&hl=id&rclk=1,-6.5325362,106.8533392,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxBaRDbJU-zyIoO8V65lcskP6OI2pHIXbsOfyBkb5Qdqt_-LSpQj1jZEXdw-EWXxva-SaVc6FuZVhJuThLoPRLBbVQSVKNuAMZrYfFis3gk6QjByLr0egJ5uMS91JihucXsYXc7KA=w1200-h800
Taman Sampora Legok,Alam,Wisata Alam,Babakan Madang,Kabupaten Bogor,4.5,503,,https://www.google.com/maps/place/Taman+Sampora+Legok/data=!4m7!3m6!1s0x2e69c168b1d82677:0x9271060ec3a74dbc!8m2!3d-6.5000947!4d106.8504357!16s%2Fg%2F11lgjn3wwj!19sChIJdybYsWjBaS4RvE2nww4GcZI?authuser=0&hl=id&rclk=1,-6.5000947,106.8504357,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwO-flpsm-JiEW_MRNUY1KZkxlgVqUwh6zbIPm3DSAbRVzlGd4AR0I0IPgzash7ZQIe6IvR6kXMXLgCk_ZrIeQA4SLalpIZ043NaaGYlPtbUSvaqbgW48M5KOvgTimgxdMQqI-MqQ=w1200-h800
Curug Mekar (Batas Jonggol-Sentul),Alam,Wisata Alam,Babakan Madang,Kabupaten Bogor,4.3,123,,https://www.google.com/maps/place/Curug+Mekar+%28Batas+Jonggol-Sentul%29/data=!4m7!3m6!1s0x2e69b9de8eddfd5f:0xb29b8b23ae5f4817!8m2!3d-6.5919944!4d106.9448831!16s%2Fg%2F11lgjjdmg6!19sChIJX_3djt65aS4RF0hfriOLm7I?authuser=0&hl=id&rclk=1,-6.5919944,106.9448831,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxZiJE7_Krhn7deYaAOLcjeGw6-p5xi_vpOsx-g0PE483225AD4de4_gxyiSPVemOmP14fRxngeYuVUYcP7bw7w2uwFiGorefyW2PR5K40LWPEmGaf7pJjU4vjmiZeTAOydk-y3=w1200-h800
Gunung pancar batu garenggong,Alam,Wisata Alam,Babakan Madang,Kabupaten Bogor,4.2,3552,,https://www.google.com/maps/place/Gunung+pancar+batu+garenggong/data=!4m7!3m6!1s0x2e69c7f5726e7fad:0xabeced42d4db9407!8m2!3d-6.5808732!4d106.9050282!16s%2Fg%2F11c3k55cs1!19sChIJrX9ucvXHaS4RB5Tb1ELt7Ks?authuser=0&hl=id&rclk=1,-6.5808732,106.9050282,
Curug Bidadari Sentul Paradise Bogor,Alam,Wisata Alam,Babakan Madang,Kabupaten Bogor,3.6,4603,,https://www.google.com/maps/place/Curug+Bidadari+Sentul+Paradise+Bogor/data=!4m7!3m6!1s0x2e69c12165130ec3:0xd6aa07e3c1d4c5e8!8m2!3d-6.6140213!4d106.9084002!16s%2Fg%2F11cs5nytgd!19sChIJww4TZSHBaS4R6MXUweMHqtY?authuser=0&hl=id&rclk=1,-6.6140213,106.9084002,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyXOv224b0BTdnkuotocnQtwP49WTO3QbKOl2PPCy344iTsHCdxCrd-bde1wMwh5jcNKjV65Gqo3QKLJyu91yCHOrPMf-7XWQatTNbwsBsYtim_FCNpLGjbr6YV1kFxMwnJEDjd=w1200-h800
Teras Wangun,Umum,Lainnya,Babakan Madang,Kabupaten Bogor,4.5,468,,https://www.google.com/maps/place/Teras+Wangun/data=!4m7!3m6!1s0x2e69b97e9fd5ef99:0x6dccc20796649ae2!8m2!3d-6.5899656!4d106.9297808!16s%2Fg%2F11g0j9sv8b!19sChIJme_Vn365aS4R4ppklgfCzG0?authuser=0&hl=id&rclk=1,-6.5899656,106.9297808,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzCxplHx2Ul7daAnRsq1AglMoAq5CBWvAa9su3DfthMphKoKvlRsUj_Ms8iZZRM7HD-DJJJ0uB93s81193qdAzo2qy7LCQmt5u6w1rK5SXW3LvzZlxptKrhw8qYHsNPPa37GvtJ=w1200-h800
Ah Poong Sentul,Umum,Lainnya,Babakan Madang,Kabupaten Bogor,4.3,9445,,https://www.google.com/maps/place/Ah+Poong+Sentul/data=!4m7!3m6!1s0x2e69c6ec0ebe7b61:0x2bcec953608237d!8m2!3d-6.5703523!4d106.8460526!16s%2Fg%2F11fxx4p67c!19sChIJYXu-DuzGaS4RfSMINpXsvAI?authuser=0&hl=id&rclk=1,-6.5703523,106.8460526,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyIX8Ca4NsnVAVOxjm1UYDbcIvksvsWG3X_s-awr5XQs978I28SPAqsl7ZY3el9X35H7SJvXePdyJTb-xwQDllzEg3PdE5M_lOVZm21G9MLLB5iWWTLCnuwtQLdXBNh6tDCroVv=w1200-h800
PAKET GATHERING MURAH SENTUL - AURORA TREKING SENTUL,Umum,Lainnya,Babakan Madang,Kabupaten Bogor,4.6,5,,https://www.google.com/maps/place/PAKET+GATHERING+MURAH+SENTUL+-+AURORA+TREKING+SENTUL/data=!4m7!3m6!1s0x2e69c9570e753105:0x82a095738d346a16!8m2!3d-6.6317431!4d106.9027099!16s%2Fg%2F11np3jn9x0!19sChIJBTF1DlfJaS4RFmo0jXOVoII?authuser=0&hl=id&rclk=1,-6.6317431,106.9027099,
KM 0 Sentul,Umum,Lainnya,Babakan Madang,Kabupaten Bogor,4.7,1448,,https://www.google.com/maps/place/KM+0+Sentul/data=!4m7!3m6!1s0x2e69c7c77ef5d28b:0xff255ccc323e7103!8m2!3d-6.6191938!4d106.9014081!16s%2Fg%2F11kcjl3cv8!19sChIJi9L1fsfHaS4RA3E-MsxcJf8?authuser=0&hl=id&rclk=1,-6.6191938,106.9014081,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxq2cCnwXiJXcDjH0NivRP65edYljQwKTUXrGA07XR1Zxn6ruCUDhJ9Vjdhyo8jMFE3tFNGn6u6TS55DdQL68lvI09ZuXsKA5QJ_Kb9zlReiLaN3osXpPByivm_q809vGe-k6rS8w=w1200-h800
Bigstone Riverside,Umum,Lainnya,Babakan Madang,Kabupaten Bogor,4.6,107,,https://www.google.com/maps/place/Bigstone+Riverside/data=!4m7!3m6!1s0x2e69b920f0e38921:0xee7b19503e11474e!8m2!3d-6.5854989!4d106.9536601!16s%2Fg%2F11v030z5wr!19sChIJIYnj8CC5aS4RTkcRPlAZe-4?authuser=0&hl=id&rclk=1,-6.5854989,106.9536601,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxD80uF6fG24BuGjMkfVpX7DjS6VMtxikEq9cWf6fIeM9lXamIoYs5lq5FTDM6Yptec0z7dM3GmHqzg6tHZ5nShzlRDfihH5bxvffAQmpX6XdUZ-ky--NviEJVRNI6oL3lG_5M0DjrchpG1=w1200-h800
Taman Hutan Sentul,Alam,Wisata Alam,Babakan Madang,Kabupaten Bogor,4.5,58,,https://www.google.com/maps/place/Taman+Hutan+Sentul/data=!4m7!3m6!1s0x2e69b883f8d3fdc7:0xfd03589b8d05e548!8m2!3d-6.5720218!4d106.9129724!16s%2Fg%2F11fzy_4_lv!19sChIJx_3T-IO4aS4RSOUFjZtYA_0?authuser=0&hl=id&rclk=1,-6.5720218,106.9129724,https://lh3.googleusercontent.com/p/AF1QipP4JQBwbTzcsTBQLSfCrIv24a9TY1fAy8qyc6Ou=w1200-h800
Paintball Sentul,Rekreasi,Wisata Rekreasi,Babakan Madang,Kabupaten Bogor,4.9,430,,https://www.google.com/maps/place/Paintball+Sentul/data=!4m7!3m6!1s0x2e69c7028dcfa381:0xc7aa2300e88e8856!8m2!3d-6.5715195!4d106.8592497!16s%2Fg%2F11bwfmgcpq!19sChIJgaPPjQLHaS4RVoiO6AAjqsc?authuser=0&hl=id&rclk=1,-6.5715195,106.8592497,
